id,project_id,project_title,intern_id,intern_name,date,status,tasks_completed,next_tasks,blockers,notes,timestamp
767,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,06-03-2026,on_track,"Evaluation Analysis of Qwen 3.5 Models — Conducted a detailed comparative analysis of three Qwen 3.5 model variants (0.8B, 2B full-precision, 2B int8) across 50 kinematics questions

2B full-precision outperforms on all LLM judge dimensions (correctness: 4.80, pedagogical quality: 4.00, feedback relevance: 4.08)
Int8 quantization degrades quality — performs closer to 0.8B than 2B full
Error recovery identified as the weakest dimension across all models (3.08–3.62/5.0)",Integrate the improved system prompt (with Chain-of-Thought reasoning and few-shot examples) into the Colab pipeline notebook. Run the evaluation on 50 kinematics questions and compare the results for the Qwen 3.5-0.8B and Qwen 3.5-2B models.,,,2026-03-06 07:59:09.118031+00:00
763,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,05-03-2026,on_track,"Evaluated Qwen3.5-0.8B-Base and Qwen3.5-2B models on the tutoring pipeline and compared their performance using the LLM Judge evaluation metrics.

Results show that Qwen3.5-2B consistently outperforms 0.8B across all dimensions, with the largest improvements in Next-Step Clarity (+0.76) and Feedback Relevance (+0.48), indicating clearer guidance and more actionable feedback.

A notable distribution shift was observed in Next-Step Clarity, where the 2B model produced significantly more high-quality next-step prompts.

The 0.8B model frequently generated vague or repetitive next-step instructions, reducing tutoring effectiveness.

Both models still struggle with Error Recovery on hard multi-step problems, indicating room for improvement in guiding students back after mistakes.","Re-evaluate the pipeline after incorporating the latest prompt improvements suggested by Antigravity to enhance Error Recovery behavior.

Run evaluation for both Qwen3.5-0.8B and Qwen3.5-2B models using the updated prompts and compare the updated LLM Judge metric scores.

Additionally, test the Qwen3.5-2B INT8 quantized model on the same pipeline to analyze its performance and compare it with the full 2B model.",,,2026-03-05 08:04:17.660119+00:00
761,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,04-03-2026,on_track,"Analyzed why the INT8 (q8_0) quantized model sometimes performs better than the full base model.

Key Observations:
 1. INT8 quantization can introduce certain effects such as:
 2. Compressing model weights
 3. Reducing small noisy weight magnitudes
 4. Smoothing activation variance
 5. Slightly reducing overconfidence spikes

In some cases, this behaves similarly to a regularization effect.

For smaller models (e.g., 4B parameters), these effects can:
   Reduce hallucination bursts
   Reduce unstable reasoning chains
   Produce shorter and more deterministic responses
   Improve instruction adherence

Due to these factors, INT8 models may occasionally achieve higher judge scores, particularly in structured tutoring or step-guided tasks.

Experiments Conducted:
 1. Evaluated Qwen3-4B Base model with thinking enabled and disabled.
 2. Evaluated Qwen3-4B INT8 (q8_0) model with thinking enabled and disabled.","1. Evaluate Qwen3.5-0.8B-Base and Qwen3.5-2B models on the same pipeline.
2. Compare their performance across the defined evaluation metrics.",,,2026-03-04 08:29:20.144362+00:00
752,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,02-03-2026,on_track,"Brainstormed failure cases related to antigravity scenarios and proposed improvements in the System Prompt, along with enhanced Error-Specific Guidance details.

Evaluated the following models using the latest prompt updates:
     Qwen3-4B (Full model)
     Qwen3-4B (INT8 quantized)
     Gemma3-4B-IT

Observed the best performance with the Qwen3-4B INT8 model, achieving rubric scores greater than 4 across all five evaluation metrics.

Completed a Root-Cause Analysis (RCA) comparing Qwen3-4B Full vs. INT8 rubric score differences.

The full model loses points due to four recurring failure patterns.

The most significant issue is the generation of irrelevant or misleading follow-up questions, which tend to confuse rather than guide the student.

1. Irrelevant or Misleading Next-Step Questions

Impact: Highest — negatively affects Correctness, Next-Step Clarity, and Error Recovery simultaneously.

The full model occasionally generates arithmetic sub-questions that are mathematically unrelated to the student’s actual mistake. This represents the largest quality gap between the Full and INT8 models.

In contrast, the INT8 model produces more focused, targeted, and error-aligned guidance, which leads to consistently higher rubric scores.","Analyze why the INT8 (q8_0) model is outperforming the full model, despite being quantized.

Whether the full model is over-reasoning or generating unnecessary sub-questions",,,2026-03-02 06:50:43.570088+00:00
746,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,27-02-2026,on_track,"1. Tested the current pipeline using the INT-8 quantized Qwen3-4B model.
Evaluated the Qwen3-4B INT8 quantized variant on a 50-question tutoring dataset (with fixed student answers) using a T4 GPU (Google Colab).

Inference Time Comparison:
Full precision model (FP16): ~30–40 minutes for 50 questions
INT8 quantized model: ~4 hours for 50 questions
Per-step latency (INT8): ~1–2 minutes per response

Performance Metrics Comparison
Full Model (FP):
Correctness: 4.68
Pedagogical Quality: 3.94
Feedback Relevance: 4.22
Next Step Clarity: 4.12
Error Recovery: 3.74

INT8 Quantized Model:
Correctness: 4.62
Pedagogical Quality: 3.85
Feedback Relevance: 4.04
Next Step Clarity: 3.88
Error Recovery: 3.57

Observation:
Quantization caused a slight drop across pedagogical and recovery-related metrics, along with a significant increase in inference latency.


2. Brainstormed improvement strategies for current results (vs. ChatGPT-level responses).
Conducted structured brainstorming with GPT and Antigravity.

Implemented suggested prompt refinements, particularly targeting:
Error recovery behavior
Next-step clarity
Pedagogical structuring

Re-tested the base model using the updated prompt configuration.
Result: Notable improvement in evaluation scores compared to previous iterations.","Currently running the Gemma3-4B-IT model on the pipeline for comparative benchmarking.

If required, I will also evaluate the Qwen3-4B-INT8 variant using the latest prompt configuration to measure prompt sensitivity under quantization.",,,2026-02-27 05:40:28.999558+00:00
743,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,26-02-2026,on_track,"1. Manually corrected the evaluation of both tutor and student responses to eliminate any potential misguidance or scoring inconsistencies.
2. Re-evaluated the latest conversation set using the updated judge configuration.
3. Ensured student responses are fully grounded (removed dynamic student behavior to maintain evaluation stability and fairness).

Evaluation Report Summary:
1. Significant improvement observed across all rubric scores.
2. Strong gains in correctness, feedback relevance, and next-step clarity.
3. Error recovery and pedagogical quality also improved compared to previous iterations.
4. Overall tutor performance shows measurable stability and consistency after judge updates.","1. Test the current pipeline using the INT-8 quantized Qwen3-4B model.
2. Brainstorm improvement strategies for the current results (in comparison with ChatGPT-level responses).
3. Evaluate and benchmark the pipeline using the Gemma3-4B model for comparative performance analysis.",,,2026-02-26 08:11:23.865576+00:00
737,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,25-02-2026,on_track,"Revised the Judge prompt to improve scoring across the five evaluation metrics.

Updated the User prompt so that when a student makes mistakes, the previous iterations (including identified mistakes and prior evaluations) are sent to the LLM for better contextual assessment.

Evaluated tutor responses for 50 questions using GPT-5.1 as the judge.

Observed improvement in rubric scores, particularly in Error Recovery and Pedagogical Quality, compared to previous iterations.

Manually reviewed the conversations and the judgments provided by GPT.

Identified several issues related to validation logic and justification quality.","Manually correct the evaluation of both tutor and student responses to eliminate any potential misguidance.

Re-evaluate the latest conversations using the updated judge configuration.

Ensure that student responses are grounded (i.e., remove dynamic student behavior).",,,2026-02-25 08:25:47.699261+00:00
732,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,24-02-2026,on_track,"Evaluated 50 questions with tutor responses on 5 different metrics such as: 
Pedagogical Quality : Does the tutor guide the student to discover the answer, or just tell them?
Correctness : Does the tutor's judgment agree with the validator?
Feedback Relevance : Is the feedback about the student's actual mistake, or generic?
Next Step Clarity : Is the 'Next Step' instruction clear and aligned with the solution path?
Error Recovery : When the student gets it wrong, does the tutor help them fix it effectively?

The average scores for all the above metrics obtained were greater than the passing score . Overall Tutor score is 3.95/5.0.",Improve the prompt of GPT-5.1 as judge and  evaluate the responses again. Ask the LLM to give small explanation why it has given that rating.,,,2026-02-24 07:51:39.486893+00:00
726,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,23-02-2026,on_track,Created Brain and Tutor Pipeline and Evaluated it for 50 dataset samples. Run the Evaluation script with judge as GPT-5.1 to test the tutor behavior analysis. Plotted the charts for different visualization metrics.,Will take up the next task as guided.,,,2026-02-23 05:54:24.796047+00:00
723,2e131ca1-5c48-4bf5-9b68-8fab99210463,LLM-Finetuning-eval,84,isha,20-02-2026,on_track,Created a pipeline for Brain and Tutor and tested it with few samples.,Test for more samples from dataset and evaluate it.,,,2026-02-20 04:14:09.558944+00:00
